Grid ID,INTPTLAT,INTPTLON,Min Lat,Max Lat,Min Long,Max Long,Geography,Geography_name,Ride Count
3693,40.8082452,-73.8567226,40.80622713,40.80898833,-73.85970871,-73.85613604,1400000US36005000200,Census Tract 2; Bronx County; New York,0
3695,40.8087867,-73.8514252,40.80622713,40.80898833,-73.85256336,-73.84899068,1400000US36005000400,Census Tract 4; Bronx County; New York,0
3917,40.8188478,-73.8580764,40.81727194,40.82003314,-73.85970871,-73.85613604,1400000US36005001600,Census Tract 16; Bronx County; New York,0
3673,40.8067879,-73.9280462,40.80622713,40.80898833,-73.93116229,-73.92758961,1400000US36005001901,Census Tract 19.01; Bronx County; New York,0
3621,40.803683,-73.9159297,40.80346593,40.80622713,-73.91687157,-73.91329889,1400000US36005001902,Census Tract 19.02; Bronx County; New York,0
3914,40.8173941,-73.8678806,40.81727194,40.82003314,-73.87042675,-73.86685407,1400000US36005002001,Census Tract 20.01; Bronx County; New York,0
3915,40.817637,-73.8644248,40.81727194,40.82003314,-73.86685407,-73.86328139,1400000US36005002002,Census Tract 20.02; Bronx County; New York,0
3730,40.8090823,-73.9258441,40.80898833,40.81174954,-73.92758961,-73.92401693,1400000US36005002300,Census Tract 23; Bronx County; New York,0
3675,40.8070025,-73.9208749,40.80622713,40.80898833,-73.92401693,-73.92044425,1400000US36005002500,Census Tract 25; Bronx County; New York,0
3621,40.8050791,-73.9163464,40.80346593,40.80622713,-73.91687157,-73.91329889,1400000US36005002701,Census Tract 27.01; Bronx County; New York,0
3677,40.8064496,-73.913773,40.80622713,40.80898833,-73.91687157,-73.91329889,1400000US36005002702,Census Tract 27.02; Bronx County; New York,0
3967,40.8225183,-73.8782336,40.82003314,40.82279434,-73.88114479,-73.87757211,1400000US36005002800,Census Tract 28; Bronx County; New York,0
3736,40.8098988,-73.9056901,40.80898833,40.81174954,-73.90615354,-73.90258086,1400000US36005003100,Census Tract 31; Bronx County; New York,0
3678,40.8082418,-73.9119436,40.80622713,40.80898833,-73.91329889,-73.90972621,1400000US36005003300,Census Tract 33; Bronx County; New York,0
3735,40.8109651,-73.9086696,40.80898833,40.81174954,-73.90972621,-73.90615354,1400000US36005003500,Census Tract 35; Bronx County; New York,0
3971,40.8202946,-73.8633435,40.82003314,40.82279434,-73.86685407,-73.86328139,1400000US36005003800,Census Tract 38; Bronx County; New York,0
3731,40.8097217,-73.9214264,40.80898833,40.81174954,-73.92401693,-73.92044425,1400000US36005003900,Census Tract 39; Bronx County; New York,0
4085,40.8282719,-73.8583355,40.82555555,40.82831675,-73.85970871,-73.85613604,1400000US36005004001,Census Tract 40.01; Bronx County; New York,0
3732,40.8113856,-73.9194099,40.80898833,40.81174954,-73.92044425,-73.91687157,1400000US36005004100,Census Tract 41; Bronx County; New York,0
4028,40.8239305,-73.8620068,40.82279434,40.82555555,-73.86328139,-73.85970871,1400000US36005004200,Census Tract 42; Bronx County; New York,0
3788,40.8136213,-73.9170376,40.81174954,40.81451074,-73.92044425,-73.91687157,1400000US36005004300,Census Tract 43; Bronx County; New York,0
4083,40.8265155,-73.8664136,40.82555555,40.82831675,-73.86685407,-73.86328139,1400000US36005004400,Census Tract 44; Bronx County; New York,0
3970,40.8224189,-73.8691775,40.82003314,40.82279434,-73.87042675,-73.86685407,1400000US36005004600,Census Tract 46; Bronx County; New York,0
4080,40.8270172,-73.8743044,40.82555555,40.82831675,-73.87757211,-73.87399943,1400000US36005004800,Census Tract 48; Bronx County; New York,0
4023,40.824997,-73.8778533,40.82279434,40.82555555,-73.88114479,-73.87757211,1400000US36005005001,Census Tract 50.01; Bronx County; New York,0
4079,40.8273629,-73.8784351,40.82555555,40.82831675,-73.88114479,-73.87757211,1400000US36005005002,Census Tract 50.02; Bronx County; New York,0
3786,40.8132061,-73.9275676,40.81174954,40.81451074,-73.92758961,-73.92401693,1400000US36005005100,Census Tract 51; Bronx County; New York,0
4078,40.8256291,-73.8824329,40.82555555,40.82831675,-73.88471746,-73.88114479,1400000US36005005200,Census Tract 52; Bronx County; New York,0
4571,40.8521987,-73.9217824,40.85040636,40.85316757,-73.92401693,-73.92044425,1400000US36005005300,Census Tract 53; Bronx County; New York,0
4135,40.8298985,-73.8797154,40.82831675,40.83107795,-73.88114479,-73.87757211,1400000US36005005400,Census Tract 54; Bronx County; New York,0
4191,40.8326118,-73.8790757,40.83107795,40.83383915,-73.88114479,-73.87757211,1400000US36005005600,Census Tract 56; Bronx County; New York,0
4011,40.8241059,-73.9234371,40.82279434,40.82555555,-73.92401693,-73.92044425,1400000US36005005902,Census Tract 59.02; Bronx County; New York,0
4303,40.8376356,-73.877771,40.83660035,40.83936156,-73.88114479,-73.87757211,1400000US36005006000,Census Tract 60; Bronx County; New York,0
3955,40.8222497,-73.9226729,40.82003314,40.82279434,-73.92401693,-73.92044425,1400000US36005006100,Census Tract 61; Bronx County; New York,0
4192,40.8332883,-73.8755187,40.83107795,40.83383915,-73.87757211,-73.87399943,1400000US36005006200,Census Tract 62; Bronx County; New York,0
3953,40.8212801,-73.928879,40.82003314,40.82279434,-73.93116229,-73.92758961,1400000US36005006301,Census Tract 63.01; Bronx County; New York,0
4193,40.8330126,-73.8721958,40.83107795,40.83383915,-73.87399943,-73.87042675,1400000US36005006400,Census Tract 64; Bronx County; New York,0
3899,40.8173983,-73.9216592,40.81727194,40.82003314,-73.92401693,-73.92044425,1400000US36005006500,Census Tract 65; Bronx County; New York,0
3900,40.8195023,-73.9181767,40.81727194,40.82003314,-73.92044425,-73.91687157,1400000US36005006700,Census Tract 67; Bronx County; New York,0
4137,40.8289669,-73.870482,40.82831675,40.83107795,-73.87399943,-73.87042675,1400000US36005006800,Census Tract 68; Bronx County; New York,0
3957,40.8218666,-73.9157567,40.82003314,40.82279434,-73.91687157,-73.91329889,1400000US36005006900,Census Tract 69; Bronx County; New York,0
4139,40.8298152,-73.8656233,40.82831675,40.83107795,-73.86685407,-73.86328139,1400000US36005007000,Census Tract 70; Bronx County; New York,0
3902,40.8182214,-73.9128301,40.81727194,40.82003314,-73.91329889,-73.90972621,1400000US36005007100,Census Tract 71; Bronx County; New York,0
4140,40.8310478,-73.8606925,40.82831675,40.83107795,-73.86328139,-73.85970871,1400000US36005007200,Census Tract 72; Bronx County; New York,0
3847,40.8146752,-73.909389,40.81451074,40.81727194,-73.90972621,-73.90615354,1400000US36005007300,Census Tract 73; Bronx County; New York,0
3918,40.8194734,-73.8528608,40.81727194,40.82003314,-73.85613604,-73.85256336,1400000US36005007400,Census Tract 74; Bronx County; New York,0
3903,40.8187768,-73.9086237,40.81727194,40.82003314,-73.90972621,-73.90615354,1400000US36005007500,Census Tract 75; Bronx County; New York,0
4194,40.833375,-73.8676557,40.83107795,40.83383915,-73.87042675,-73.86685407,1400000US36005007600,Census Tract 76; Bronx County; New York,0
3904,40.8197339,-73.904423,40.81727194,40.82003314,-73.90615354,-73.90258086,1400000US36005007700,Census Tract 77; Bronx County; New York,0
4142,40.8291304,-73.8526457,40.82831675,40.83107795,-73.85613604,-73.85256336,1400000US36005007800,Census Tract 78; Bronx County; New York,0
3848,40.815792,-73.9048713,40.81451074,40.81727194,-73.90615354,-73.90258086,1400000US36005007900,Census Tract 79; Bronx County; New York,0
3793,40.8136778,-73.90184,40.81174954,40.81451074,-73.90258086,-73.89900818,1400000US36005008300,Census Tract 83; Bronx County; New York,0
3864,40.8156088,-73.8477354,40.81451074,40.81727194,-73.84899068,-73.845418,1400000US36005008400,Census Tract 84; Bronx County; New York,0
3849,40.8162762,-73.8990831,40.81451074,40.81727194,-73.90258086,-73.89900818,1400000US36005008500,Census Tract 85; Bronx County; New York,0
3919,40.8198788,-73.8498059,40.81727194,40.82003314,-73.85256336,-73.84899068,1400000US36005008600,Census Tract 86; Bronx County; New York,0
3906,40.819672,-73.8972847,40.81727194,40.82003314,-73.89900818,-73.8954355,1400000US36005008700,Census Tract 87; Bronx County; New York,0
3907,40.8185668,-73.8939061,40.81727194,40.82003314,-73.8954355,-73.89186282,1400000US36005008900,Census Tract 89; Bronx County; New York,0
3920,40.8181315,-73.8462433,40.81727194,40.82003314,-73.84899068,-73.845418,1400000US36005009000,Census Tract 90; Bronx County; New York,0
4199,40.8323395,-73.8521545,40.83107795,40.83383915,-73.85256336,-73.84899068,1400000US36005009200,Census Tract 92; Bronx County; New York,0
3796,40.8143501,-73.8891123,40.81174954,40.81451074,-73.89186282,-73.88829014,1400000US36005009301,Census Tract 93.01; Bronx County; New York,0
4031,40.8254505,-73.8495052,40.82279434,40.82555555,-73.85256336,-73.84899068,1400000US36005009800,Census Tract 98; Bronx County; New York,0
3965,40.8200657,-73.8865202,40.82003314,40.82279434,-73.88829014,-73.88471746,1400000US36005011502,Census Tract 115.02; Bronx County; New York,0
