num_layers,learning_rate,batch_size,dropout_percent,weight_decay,feature_count,final_train_loss,final_test_loss,final_train_r2,final_test_r2,final_train_mae,final_test_mae,window_size
2,2e-05,32,0.3,0.001,25,4.022270531058312,5.33292155265808,0.52593136,0.44104734,1.5530614,1.673548,20
2,2e-05,32,0.3,0.001,35,3.2482613554596904,4.770615447560946,0.62374353,0.46525398,1.3786929,1.5834434,20
2,5e-05,32,0.3,0.001,25,3.548231914639474,6.476793667674064,0.5832094,0.2907932,1.4373038,1.9013828,20
2,5e-05,32,0.3,0.001,35,2.870533464550972,4.344793089230855,0.6598165,0.51374716,1.3195666,1.5197302,20
2,0.0001,32,0.3,0.001,25,2.5800501173734665,5.631943166255951,0.6952492,0.3899799,1.2436588,1.6697365,20
2,0.0001,32,0.3,0.001,35,2.805547715425491,5.358841356635095,0.66930455,0.4087546,1.2975415,1.7142761,20
3,2e-05,32,0.3,0.001,25,3.595891282558442,5.8524551848570505,0.5785787,0.3766927,1.4636707,1.6195961,20
3,2e-05,32,0.3,0.001,35,2.6678198337554937,4.814113609989485,0.6842936,0.44468173,1.2649436,1.4679501,20
3,5e-05,32,0.3,0.001,25,2.6495083290338517,5.485071396827697,0.68750435,0.40199572,1.2603604,1.5307043,20
3,5e-05,32,0.3,0.001,35,2.465381831526756,5.153577576080958,0.7130171,0.43977308,1.2033584,1.5305895,20
3,0.0001,32,0.3,0.001,25,2.6670736032724376,5.303534590204557,0.68525517,0.4101069,1.2611039,1.52093,20
3,0.0001,32,0.3,0.001,35,1.8620699349045757,4.732516520718733,0.78151596,0.45794353,1.0646175,1.4938109,20
